63, 54, 36, 45, 26, 25, 23, 25, 23, 21, 23, 21, 19, 21, 20, 24, 22, 23, 25, 29, 30, 25, 27, 25, 23, 29, 29, 27, 33, 30, 29, 33, 35, 32, 32, 35, 36, 41, 37, 39, 40, 45, 44, 39, 42, 46, 48, 41, 49, 43, 48, 53, 56, 50, 50, 51, 55, 56, 58, 54, 54, 63, 63, 59, 84, 62, 58, 71, 80, 65, 76, 83, 97, 102, 77, 98, 108, 116, 95, 120, 103, 106, 125, 151, 131, 153, 169, 221, 191, 365, 315, 391, 474, 526, 716, 906, 1479, 1659, 4892, 19035, 
17, 16, 16, 17, 16, 17, 17, 18, 18, 18, 19, 17, 18, 20, 18, 19, 19, 19, 19, 18, 19, 18, 19, 19, 18, 18, 18, 22, 20, 18, 24, 20, 25, 22, 21, 22, 23, 20, 21, 23, 25, 25, 24, 26, 23, 24, 23, 24, 25, 23, 22, 24, 22, 27, 22, 29, 26, 25, 28, 30, 25, 30, 29, 28, 28, 32, 32, 32, 29, 32, 30, 33, 29, 33, 24, 36, 40, 28, 22, 28, 22, 25, 29, 27, 25, 26, 28, 27, 28, 38, 28, 37, 30, 42, 39, 38, 39, 44, 201, 577, 
3, 1, 0, 5, 5, 8, 2, 8, 12, 6, 12, 8, 6, 11, 12, 16, 11, 12, 17, 24, 29, 20, 24, 18, 16, 29, 25, 24, 32, 31, 28, 35, 42, 28, 30, 39, 36, 42, 33, 33, 44, 45, 39, 42, 40, 47, 46, 46, 45, 46, 47, 54, 57, 49, 48, 50, 51, 63, 58, 61, 62, 63, 64, 55, 66, 63, 68, 64, 77, 69, 73, 71, 75, 73, 71, 79, 78, 77, 79, 83, 80, 83, 84, 82, 82, 86, 86, 88, 90, 91, 91, 96, 94, 93, 92, 98, 97, 98, 96, 98, 
1, 2, 1, 2, 1, 3, 3, 4, 6, 5, 6, 4, 3, 7, 8, 8, 7, 8, 7, 8, 7, 10, 7, 9, 7, 7, 5, 10, 10, 11, 17, 12, 17, 16, 18, 13, 18, 13, 13, 16, 18, 18, 19, 28, 18, 20, 21, 22, 21, 20, 16, 21, 17, 26, 18, 29, 25, 19, 28, 28, 25, 30, 31, 26, 29, 33, 35, 32, 28, 36, 36, 30, 30, 31, 22, 42, 41, 35, 33, 34, 31, 34, 40, 37, 37, 32, 36, 37, 46, 48, 41, 42, 42, 39, 40, 46, 42, 44, 47, 48, 
